"dataset","fold","method","noise_levels","instance_level","accuracy","kappa"
"mfeat-pixel","Fold_1","rda",0.1,0.1,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.2,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.25,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.3,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.4,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.5,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.6,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.7,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.75,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.8,1,1
"mfeat-pixel","Fold_1","rda",0.1,0.9,1,1
"mfeat-pixel","Fold_1","rda",0.1,1,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.1,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.2,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.25,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.3,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.4,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.5,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.6,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.7,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.75,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.8,1,1
"mfeat-pixel","Fold_1","rda",0.2,0.9,1,1
"mfeat-pixel","Fold_1","rda",0.2,1,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.1,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.2,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.25,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.3,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.4,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.5,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.6,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.7,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.75,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.8,1,1
"mfeat-pixel","Fold_1","rda",0.3,0.9,1,1
"mfeat-pixel","Fold_1","rda",0.3,1,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.1,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.2,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.25,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.3,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.4,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.5,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.6,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.7,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.75,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.8,1,1
"mfeat-pixel","Fold_2","rda",0.1,0.9,1,1
"mfeat-pixel","Fold_2","rda",0.1,1,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.1,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.2,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.25,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.3,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.4,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.5,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.6,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.7,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.75,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.8,1,1
"mfeat-pixel","Fold_2","rda",0.2,0.9,1,1
"mfeat-pixel","Fold_2","rda",0.2,1,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.1,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.2,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.25,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.3,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.4,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.5,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.6,1,1
"mfeat-pixel","Fold_2","rda",0.3,0.7,1,1
